Number of channels received = 325
Channel                  Rate  chan_type
L0:FMC-CS_AHU3_H2O_VALVE                    16      raw    real_4
L0:FMC-CS_AHU3_HEAT1_TEMP                   16      raw    real_4
L0:FMC-CS_AHU3_HEAT2_TEMP                   16      raw    real_4
L0:FMC-CS_AHU3_HEAT_DISCH_TEMP              16      raw    real_4
L0:FMC-CS_AHU3_HEAT_RH                      16      raw    real_4
L0:FMC-CS_AHU3_MIXTEMP                      16      raw    real_4
L0:FMC-CS_AHU3_MIX_RH                       16      raw    real_4
L0:FMC-CS_AHU3_OUTAIR_DAMP                  16      raw    real_4
L0:FMC-CS_AHU3_RETAIR_DAMP                  16      raw    real_4
L0:FMC-CS_AHU3_ZONE_RH                      16      raw    real_4
L0:FMC-CS_CTRL_ROOM_TEMP                    16      raw    real_4
L0:FMC-CS_CY_CHILL1_DIS_TEMP                16      raw    real_4
L0:FMC-CS_CY_CHILL1_SWITCH1                 16      raw    real_4
L0:FMC-CS_CY_CHILL1_SWITCH2                 16      raw    real_4
L0:FMC-CS_CY_CHILL1_VS                      16      raw    real_4
L0:FMC-CS_CY_CHILL2_DIS_TEMP                16      raw    real_4
L0:FMC-CS_CY_CHILL2_SWITCH1                 16      raw    real_4
L0:FMC-CS_CY_CHILL2_SWITCH2                 16      raw    real_4
L0:FMC-CS_CY_CHILL2_VS                      16      raw    real_4
L0:FMC-CS_CY_CHILL3_DIS_TEMP                16      raw    real_4
L0:FMC-CS_CY_CHILL3_SWITCH1                 16      raw    real_4
L0:FMC-CS_CY_CHILL3_SWITCH2                 16      raw    real_4
L0:FMC-CS_CY_CHILL3_VS                      16      raw    real_4
L0:FMC-CS_CY_H2O_RET_TEMP                   16      raw    real_4
L0:FMC-CS_CY_H2O_SUP_TEMP                   16      raw    real_4
L0:FMC-CS_CY_PUMP1_PRESS                    16      raw    real_4
L0:FMC-CS_CY_PUMP1_SWITCH                   16      raw    real_4
L0:FMC-CS_CY_PUMP1_VS                       16      raw    real_4
L0:FMC-CS_CY_PUMP2_PRESS                    16      raw    real_4
L0:FMC-CS_CY_PUMP2_SWITCH                   16      raw    real_4
L0:FMC-CS_CY_PUMP2_VS                       16      raw    real_4
L0:FMC-CS_CY_PUMP3_PRESS                    16      raw    real_4
L0:FMC-CS_CY_PUMP3_SWITCH                   16      raw    real_4
L0:FMC-CS_CY_PUMP3_VS                       16      raw    real_4
L0:FMC-CS_LVEA_AVTEMP                       16      raw    real_4
L0:FMC-CS_LVEA_BLDG_DIF_PRS                 16      raw    real_4
L0:FMC-CS_LVEA_OUTSIDE_TEMP                 16      raw    real_4
L0:FMC-CS_LVEA_RH                           16      raw    real_4
L0:FMC-CS_LVEA_ZONE1_AVTEMP                 16      raw    real_4
L0:FMC-CS_LVEA_ZONE1_TP1                    16      raw    real_4
L0:FMC-CS_LVEA_ZONE1_TP2                    16      raw    real_4
L0:FMC-CS_LVEA_ZONE1_TP3                    16      raw    real_4
L0:FMC-CS_LVEA_ZONE1_TP4                    16      raw    real_4
L0:FMC-CS_LVEA_ZONE2_AVTEMP                 16      raw    real_4
L0:FMC-CS_LVEA_ZONE2_TP1                    16      raw    real_4
L0:FMC-CS_LVEA_ZONE2_TP2                    16      raw    real_4
L0:FMC-CS_LVEA_ZONE2_TP3                    16      raw    real_4
L0:FMC-CS_LVEA_ZONE2_TP4                    16      raw    real_4
L0:FMC-CS_LVEA_ZONE2_TP5                    16      raw    real_4
L0:FMC-CS_LVEA_ZONE2_TP6                    16      raw    real_4
L0:FMC-CS_LVEA_ZONE2_TP7                    16      raw    real_4
L0:FMC-CS_LVEA_ZONE3_AVTEMP                 16      raw    real_4
L0:FMC-CS_LVEA_ZONE3_TP1                    16      raw    real_4
L0:FMC-CS_LVEA_ZONE3_TP2                    16      raw    real_4
L0:FMC-CS_LVEA_ZONE3_TP3                    16      raw    real_4
L0:FMC-CS_LVEA_ZONE3_TP4                    16      raw    real_4
L0:FMC-CS_LVEA_ZONE3_TP5                    16      raw    real_4
L0:FMC-CS_LVEA_ZONE3_TP6                    16      raw    real_4
L0:FMC-CS_LVEA_ZONE3_TP7                    16      raw    real_4
L0:FMC-CS_LVEA_ZONE3_TP8                    16      raw    real_4
L0:FMC-CS_LVEA_ZONE4_AVTEMP                 16      raw    real_4
L0:FMC-CS_LVEA_ZONE4_TP1                    16      raw    real_4
L0:FMC-CS_LVEA_ZONE4_TP2                    16      raw    real_4
L0:FMC-CS_LVEA_ZONE4_TP3                    16      raw    real_4
L0:FMC-CS_LVEA_ZONE4_TP4                    16      raw    real_4
L0:FMC-CS_LVEA_ZONE4_TP5                    16      raw    real_4
L0:FMC-CS_LVEA_ZONE4_TP6                    16      raw    real_4
L0:FMC-CS_LVEA_ZONE4_TP7                    16      raw    real_4
L0:FMC-CS_LVEA_ZONE5_AVTEMP                 16      raw    real_4
L0:FMC-CS_LVEA_ZONE5_TP1                    16      raw    real_4
L0:FMC-CS_LVEA_ZONE5_TP2                    16      raw    real_4
L0:FMC-CS_LVEA_ZONE5_TP3                    16      raw    real_4
L0:FMC-CS_LVEA_ZONE5_TP4                    16      raw    real_4
L0:FMC-CS_LVEA_ZONE5_TP5                    16      raw    real_4
L0:FMC-CS_LVEA_ZONE5_TP6                    16      raw    real_4
L0:FMC-CS_LVEA_ZONE5_TP7                    16      raw    real_4
L0:FMC-CS_LVEA_ZONE5_TP8                    16      raw    real_4
L0:FMC-CS_OUTSIDE_RH                        16      raw    real_4
L0:FMC-EX_AHU_DISCH_HEAT_SWITCH11           16      raw    real_4
L0:FMC-EX_AHU_DISCH_HEAT_SWITCH12           16      raw    real_4
L0:FMC-EX_AHU_DISCH_HEAT_SWITCH21           16      raw    real_4
L0:FMC-EX_AHU_DISCH_HEAT_SWITCH22           16      raw    real_4
L0:FMC-EX_AHU_DISCH_HEAT_SWITCH3C           16      raw    real_4
L0:FMC-EX_AHU_DISCH_HEAT_SWITCH41           16      raw    real_4
L0:FMC-EX_AHU_DISCH_HEAT_SWITCH42           16      raw    real_4
L0:FMC-EX_AHU_DISCH_HEAT_SWITCH51           16      raw    real_4
L0:FMC-EX_AHU_DISCH_HEAT_SWITCH52           16      raw    real_4
L0:FMC-EX_AHU_DISCH_HEAT_SWITCH61           16      raw    real_4
L0:FMC-EX_AHU_DISCH_HEAT_SWITCH62           16      raw    real_4
L0:FMC-EX_AHU_DISCH_HEAT_VOLT3C             16      raw    real_4
L0:FMC-EX_AHU_EXHFAN_SWITCH                 16      raw    real_4
L0:FMC-EX_AHU_FAN1_CFM                      16      raw    real_4
L0:FMC-EX_AHU_FAN1_COIL_DISCH_TEMP          16      raw    real_4
L0:FMC-EX_AHU_FAN1_DISCH_RH                 16      raw    real_4
L0:FMC-EX_AHU_FAN1_DISCH_TEMP               16      raw    real_4
L0:FMC-EX_AHU_FAN1_H2O_VALVE                16      raw    real_4
L0:FMC-EX_AHU_FAN1_INLET                    16      raw    real_4
L0:FMC-EX_AHU_FAN1_ISODAMP_SWITCH           16      raw    real_4
L0:FMC-EX_AHU_FAN1_MIXDAMP                  16      raw    real_4
L0:FMC-EX_AHU_FAN1_MIXTEMP                  16      raw    real_4
L0:FMC-EX_AHU_FAN1_MIX_RH                   16      raw    real_4
L0:FMC-EX_AHU_FAN1_OUTAIR                   16      raw    real_4
L0:FMC-EX_AHU_FAN1_PREHEAT1_SWITCH          16      raw    real_4
L0:FMC-EX_AHU_FAN1_PREHEAT2_SWITCH          16      raw    real_4
L0:FMC-EX_AHU_FAN1_SWITCH                   16      raw    real_4
L0:FMC-EX_AHU_FAN1_VS                       16      raw    real_4
L0:FMC-EX_AHU_FAN1_VS                      128      raw    real_4
L0:FMC-EX_AHU_FAN2_CFM                      16      raw    real_4
L0:FMC-EX_AHU_FAN2_COIL_DISCH_TEMP          16      raw    real_4
L0:FMC-EX_AHU_FAN2_DISCH_RH                 16      raw    real_4
L0:FMC-EX_AHU_FAN2_DISCH_TEMP               16      raw    real_4
L0:FMC-EX_AHU_FAN2_H2O_VALVE                16      raw    real_4
L0:FMC-EX_AHU_FAN2_INLET                    16      raw    real_4
L0:FMC-EX_AHU_FAN2_ISODAMP_SWITCH           16      raw    real_4
L0:FMC-EX_AHU_FAN2_MIXDAMP                  16      raw    real_4
L0:FMC-EX_AHU_FAN2_MIXTEMP                  16      raw    real_4
L0:FMC-EX_AHU_FAN2_MIX_RH                   16      raw    real_4
L0:FMC-EX_AHU_FAN2_OUTAIR                   16      raw    real_4
L0:FMC-EX_AHU_FAN2_PREHEAT1_SWITCH          16      raw    real_4
L0:FMC-EX_AHU_FAN2_PREHEAT2_SWITCH          16      raw    real_4
L0:FMC-EX_AHU_FAN2_SWITCH                   16      raw    real_4
L0:FMC-EX_AHU_FAN2_VS                       16      raw    real_4
L0:FMC-EX_AHU_FAN2_VS                      128      raw    real_4
L0:FMC-EX_AHU_H2O_SUP_TEMP                  16      raw    real_4
L0:FMC-EX_AHU_OUTAIR_DAMP                   16      raw    real_4
L0:FMC-EX_AHU_RETAIR_DAMP                   16      raw    real_4
L0:FMC-EX_CY_CHILL1_DIS_TEMP                16      raw    real_4
L0:FMC-EX_CY_CHILL1_SWITCH1                 16      raw    real_4
L0:FMC-EX_CY_CHILL1_SWITCH2                 16      raw    real_4
L0:FMC-EX_CY_CHILL1_VS                      16      raw    real_4
L0:FMC-EX_CY_CHILL2_DIS_TEMP                16      raw    real_4
L0:FMC-EX_CY_CHILL2_SWITCH1                 16      raw    real_4
L0:FMC-EX_CY_CHILL2_SWITCH2                 16      raw    real_4
L0:FMC-EX_CY_CHILL2_VS                      16      raw    real_4
L0:FMC-EX_CY_H2O_RET_TEMP                   16      raw    real_4
L0:FMC-EX_CY_H2O_SUP_TEMP                   16      raw    real_4
L0:FMC-EX_CY_PUMP1_PRESS                    16      raw    real_4
L0:FMC-EX_CY_PUMP1_SWITCH                   16      raw    real_4
L0:FMC-EX_CY_PUMP1_VS                       16      raw    real_4
L0:FMC-EX_CY_PUMP2_PRESS                    16      raw    real_4
L0:FMC-EX_CY_PUMP2_SWITCH                   16      raw    real_4
L0:FMC-EX_CY_PUMP2_VS                       16      raw    real_4
L0:FMC-EX_VEA_302A_TEMP                     16      raw    real_4
L0:FMC-EX_VEA_302B_TEMP                     16      raw    real_4
L0:FMC-EX_VEA_302C_TEMP                     16      raw    real_4
L0:FMC-EX_VEA_302D_TEMP                     16      raw    real_4
L0:FMC-EX_VEA_302_AVTEMP                    16      raw    real_4
L0:FMC-EX_VEA_303_TEMP                      16      raw    real_4
L0:FMC-EX_VEA_304_TEMP                      16      raw    real_4
L0:FMC-EX_VEA_305_306_AVTEMP                16      raw    real_4
L0:FMC-EX_VEA_305_TEMP                      16      raw    real_4
L0:FMC-EX_VEA_306_TEMP                      16      raw    real_4
L0:FMC-EX_VEA_307_TEMP                      16      raw    real_4
L0:FMC-EX_VEA_310_TEMP                      16      raw    real_4
L0:FMC-EX_VEA_AVTEMP                        16      raw    real_4
L0:FMC-EX_VEA_BLDG_DIF_PRS                  16      raw    real_4
L0:FMC-EX_VEA_OUTSIDE_TEMP                  16      raw    real_4
L0:FMC-EX_VEA_RH                            16      raw    real_4
L0:FMC-EY_AHU_DISCH_HEAT_SWITCH11           16      raw    real_4
L0:FMC-EY_AHU_DISCH_HEAT_SWITCH12           16      raw    real_4
