Number of channels received = 240
Channel                  Rate  chan_type
LVE-BY:Y26_AIR_TEMP_C                       16      raw    real_4
LVE-BY:Y26_BT_TEMP_C                        16      raw    real_4
LVE-BY:Y27_993BTORR                         16      raw    real_4
LVE-BY:Y27_ACI_AIR_RH_PCT                   16      raw    real_4
LVE-BY:Y27_ACI_BT_DWPT_CALC                 16      raw    real_4
LVE-BY:Y27_BT_TEMP_C                        16      raw    real_4
LVE-BY:Y27_Y4_994TORR                       16      raw    real_4
LVE-BY:YMID_BT_TEMP_C                       16      raw    real_4
LVE-EX:75IPBSC4_AIPTORR                     16      raw    real_4
LVE-EX:CP4_LIC800                           16      raw    real_4
LVE-EX:CP4_LT800                            16      raw    real_4
LVE-EX:CP4_LT805                            16      raw    real_4
LVE-EX:CP4_LVLSIG                           16      raw    real_4
LVE-EX:ETMX_OP_LEV_TEMP                     16      raw    real_4
LVE-EX:GV11_AIPTORR                         16      raw    real_4
LVE-EX:GV12_AIPTORR                         16      raw    real_4
LVE-EX:INSTAIR_PT899                        16      raw    real_4
LVE-EX:IP6_EI822A                           16      raw    real_4
LVE-EX:IP6_EI822B                           16      raw    real_4
LVE-EX:IP6_ST822A                           16      raw    real_4
LVE-EX:IP6_ST822B                           16      raw    real_4
LVE-EX:IP6_VI822A                           16      raw    real_4
LVE-EX:IP6_VI822B                           16      raw    real_4
LVE-EX:IP8_827AMP                           16      raw    real_4
LVE-EX:IP8_EI827                            16      raw    real_4
LVE-EX:IP8_VI827                            16      raw    real_4
LVE-EX:X1_823ATORR                          16      raw    real_4
LVE-EX:X1_823BTORR                          16      raw    real_4
LVE-EX:X2_824ATORR                          16      raw    real_4
LVE-EX:X2_824BTORR                          16      raw    real_4
LVE-EX:X3_810ATORR                          16      raw    real_4
LVE-EX:X3_810BTORR                          16      raw    real_4
LVE-EX:XEND_VEA_ROOM_TEMP                   16      raw    real_4
LVE-EY:75IPBSC5_AIPTORR                     16      raw    real_4
LVE-EY:CP3_LIC700                           16      raw    real_4
LVE-EY:CP3_LT700                            16      raw    real_4
LVE-EY:CP3_LT705                            16      raw    real_4
LVE-EY:CP3_LVLSIG                           16      raw    real_4
LVE-EY:ETMY_OP_LEV_TEMP                     16      raw    real_4
LVE-EY:GV10_AIPTORR                         16      raw    real_4
LVE-EY:GV9_AIPTORR                          16      raw    real_4
LVE-EY:INSTAIR_PT799                        16      raw    real_4
LVE-EY:IP5_EI722A                           16      raw    real_4
LVE-EY:IP5_EI722B                           16      raw    real_4
LVE-EY:IP5_ST722A                           16      raw    real_4
LVE-EY:IP5_ST722B                           16      raw    real_4
LVE-EY:IP5_VI722A                           16      raw    real_4
LVE-EY:IP5_VI722B                           16      raw    real_4
LVE-EY:IP7_727AMP                           16      raw    real_4
LVE-EY:IP7_EI727                            16      raw    real_4
LVE-EY:IP7_VI727                            16      raw    real_4
LVE-EY:Y1_723ATORR                          16      raw    real_4
LVE-EY:Y1_723BTORR                          16      raw    real_4
LVE-EY:Y2_724ATORR                          16      raw    real_4
LVE-EY:Y2_724BTORR                          16      raw    real_4
LVE-EY:Y3_710ATORR                          16      raw    real_4
LVE-EY:Y3_710BTORR                          16      raw    real_4
LVE-EY:YEND_VEA_ROOM_TEMP                   16      raw    real_4
LVE-LX:75IPBM_AIPTORR                       16      raw    real_4
LVE-LX:CP2_LIC650                           16      raw    real_4
LVE-LX:CP2_LT650                            16      raw    real_4
LVE-LX:CP2_LT655                            16      raw    real_4
LVE-LX:CP2_LVLSIG                           16      raw    real_4
LVE-LX:GV2_AIPTORR                          16      raw    real_4
LVE-LX:GV5_AIPTORR                          16      raw    real_4
LVE-LX:GV6_AIPTORR                          16      raw    real_4
LVE-LX:ITMX_OP_LEV_TEMP                     16      raw    real_4
LVE-LX:LVEA_X_ROOM_TEMP                     16      raw    real_4
LVE-LX:X1_610ATORR                          16      raw    real_4
LVE-LX:X1_610BTORR                          16      raw    real_4
